n_designs,n_draws,n_seeds,nfe,n_borg_runs,search_t_eval_s,search_ranks_per_node,search_nodes,search_islands,search_workers,search_efficiency,search_hr_per_run,search_su,etest_n_theta,etest_r,etest_l_test,etest_scenarios,reeval_policies,reeval_sims,reeval_t_eval_s,reeval_ranks_per_node,reeval_cost_basis,reeval_su,total_su,frac_of_allocation
6,10,2,50000,120,173.8135,128,4,2,509,0.729,6.505874745362323,399720.94435506116,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,412427.4258365426,0.4124274258365426
6,10,2,50000,120,173.8135,128,4,2,509,0.729,6.505874745362323,399720.94435506116,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,407752.61102172785,0.40775261102172783
6,10,2,50000,120,173.8135,128,4,2,509,0.729,6.505874745362323,399720.94435506116,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,423120.759169876,0.423120759169876
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,800310.2220434557,0.8003102220434557
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,801983.1850064186,0.8019831850064186
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,801048.2220434557,0.8010482220434557
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,804121.8516730852,0.8041218516730853
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,801612.7220434557,0.8016127220434557
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,805795.1294508631,0.8057951294508631
6,10,2,100000,120,173.8135,128,4,2,509,0.729,13.011749490724647,799441.8887101223,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,803457.7220434557,0.8034577220434557
