experiment,preset,formulation,model_variant,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,29,a463.anvil.rcac.purdue.edu,29,1,warm,2.845,399.7,199332.0,True,-0.25,34.996429,-0.25,1784091374.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,29,a463.anvil.rcac.purdue.edu,29,2,warm,2.884,399.7,198635.4,True,-0.25,34.996429,-0.25,1784091377.2,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,30,a463.anvil.rcac.purdue.edu,30,0,cold,6.593,394.1,199334.8,True,-0.25,34.996429,-0.25,1784091370.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,30,a463.anvil.rcac.purdue.edu,30,1,warm,2.73,401.8,198650.7,True,-0.25,34.996429,-0.25,1784091376.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,30,a463.anvil.rcac.purdue.edu,30,2,warm,2.859,401.8,198576.8,True,-0.25,34.996429,-0.25,1784091379.7,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,31,a463.anvil.rcac.purdue.edu,30,0,cold,6.566,393.9,199334.8,True,-0.25,34.996429,-0.25,1784091370.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,31,a463.anvil.rcac.purdue.edu,30,1,warm,2.763,401.5,198650.7,True,-0.25,34.996429,-0.25,1784091376.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,31,a463.anvil.rcac.purdue.edu,30,2,warm,2.858,401.7,198576.8,True,-0.25,34.996429,-0.25,1784091379.7,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,32,a463.anvil.rcac.purdue.edu,30,0,cold,7.032,393.9,199311.3,True,-0.25,34.996429,-0.25,1784091370.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,32,a463.anvil.rcac.purdue.edu,30,1,warm,2.784,401.6,198629.0,True,-0.25,34.996429,-0.25,1784091377.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,32,a463.anvil.rcac.purdue.edu,30,2,warm,2.946,401.7,198578.9,True,-0.25,34.996429,-0.25,1784091380.2,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,33,a463.anvil.rcac.purdue.edu,30,0,cold,6.995,391.5,199317.7,True,-0.25,34.996429,-0.25,1784091370.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,33,a463.anvil.rcac.purdue.edu,30,1,warm,2.77,399.1,198637.4,True,-0.25,34.996429,-0.25,1784091377.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,33,a463.anvil.rcac.purdue.edu,30,2,warm,2.915,399.2,198578.9,True,-0.25,34.996429,-0.25,1784091380.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,34,a463.anvil.rcac.purdue.edu,30,0,cold,7.058,393.1,199310.8,True,-0.25,34.996429,-0.25,1784091370.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,34,a463.anvil.rcac.purdue.edu,30,1,warm,2.819,400.1,198628.1,True,-0.25,34.996429,-0.25,1784091377.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,34,a463.anvil.rcac.purdue.edu,30,2,warm,2.957,400.3,198579.4,True,-0.25,34.996429,-0.25,1784091380.2,19211035,fba0f7d
