pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
half1,lhs_nn,5,100,1.0,99.0,0.04604731085843332,0.1011090437117617,0.06804360991416186,0.38500247789042896,0.325,0.89,0.28300000000000003,0.1964144954200599,0.06804360991416186,0.35744577487688234,0.0,0.007
half1,lhs_nn,6,100,1.0,99.0,0.05314176189393579,0.09752096912346657,0.051158535489666354,0.38311148258031974,0.315,0.87,0.28425,0.20461023699461944,0.051158535489666354,0.33384248686972606,0.01,0.007
half1,lhs_nn,7,100,1.0,99.0,0.03544934228094367,0.10160357467353412,0.035115205680744215,0.3734895390978565,0.3175,0.88,0.28625,0.20277665441983092,0.035115205680744215,0.31883505561823894,0.0,0.007
half1,lhs_nn,8,100,1.0,99.0,0.04273062742385803,0.10015290284214952,0.06804360991416186,0.3797275167108676,0.3325,0.91,0.27875,0.19650430856203235,0.06804360991416186,0.3353585632253917,0.0,0.007
half1,lhs_nn,9,100,1.0,99.0,0.046120344449190206,0.10144615807824978,0.06804360991416186,0.345095284166554,0.3175,0.9,0.28625,0.20355868377244618,0.06804360991416186,0.3211913218028153,0.0,0.007
half1,lhs_assign,0,100,1.0,99.0,0.050437439434019765,0.09658835212034733,0.06651594391708891,0.38610001710447517,0.3175,0.86,0.26799999999999996,0.20208218285489932,0.06651594391708891,0.3279660530791159,0.0,0.007
half1,lhs_assign,1,100,1.0,99.0,0.045298740275692306,0.09750812680249898,0.06804360991416186,0.3481439766027448,0.335,0.9,0.28525,0.20962717421450372,0.06804360991416186,0.2995798869126698,0.0,0.007
half1,lhs_assign,2,100,1.0,99.0,0.0498232343370384,0.10049905165738007,0.03286814487078217,0.371533525219026,0.315,0.85,0.2855,0.19983023670822866,0.03286814487078217,0.3329134614599513,0.0,0.007
half1,lhs_assign,3,100,1.0,99.0,0.048841720758232385,0.09926726009731768,0.03286814487078217,0.39727487492714253,0.3275,0.88,0.28925,0.20534024729356185,0.03286814487078217,0.3400919137136279,0.0,0.007
half1,lhs_assign,4,100,1.0,99.0,0.03695427088475109,0.10112123495207759,0.06804360991416186,0.3837104134214325,0.3325,0.9,0.2855,0.19837446200137457,0.06804360991416186,0.3337823781414387,0.0,0.007
half1,lhs_assign,5,100,1.0,99.0,0.04685860269007735,0.10140825647175901,0.06804360991416186,0.3820477077794249,0.3375,0.91,0.29325,0.19648456667545675,0.06804360991416186,0.3572958144705555,0.0,0.007
half1,lhs_assign,6,100,1.0,99.0,0.052435830172526704,0.09755284494879723,0.06804360991416186,0.3668963346087708,0.315,0.87,0.28675,0.2060966885376296,0.06804360991416186,0.3252074799666077,0.01,0.007
half1,lhs_assign,7,100,1.0,99.0,0.03776788403856125,0.10149862037919294,0.035115205680744215,0.3460888922403676,0.32,0.89,0.28325,0.1982586525725124,0.035115205680744215,0.30564286549241915,0.0,0.007
half1,lhs_assign,8,100,1.0,99.0,0.045398172697584095,0.10028942428287504,0.06804360991416186,0.3998293765323671,0.33499999999999996,0.91,0.28625,0.20331870276279743,0.06804360991416186,0.34569303612682206,0.0,0.007
half1,lhs_assign,9,100,1.0,99.0,0.04656411361027989,0.10142955920650834,0.06804360991416186,0.34244248812103595,0.315,0.91,0.2885,0.20792581588635858,0.06804360991416186,0.3047350736945515,0.0,0.007
half1,maximin,0,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,1,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,2,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,3,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,4,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,5,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,6,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,7,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,8,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,maximin,9,100,1.0,99.0,0.0838038170200788,0.08182847148715498,0.22446144049018096,0.13436806292890952,0.28750000000000003,0.79,0.20725,0.26673949829598853,0.22446144049018096,0.12861041737574733,0.04,0.007
half1,eps_cell,0,100,1.0,99.0,0.08285443210595844,0.09176827464550197,0.10622541460839618,0.2905567099609922,0.29000000000000004,0.84,0.24275,0.21748798643873385,0.10622541460839618,0.25443803329300696,0.0,0.007
half1,eps_cell,1,100,1.0,99.0,0.08519609781862815,0.09001091895627433,0.10622541460839618,0.266585376515398,0.28,0.82,0.24825,0.2249927315974694,0.10622541460839618,0.23627042728917658,0.0,0.007
half1,eps_cell,2,100,1.0,99.0,0.08097751779618213,0.09183894099509413,0.10622541460839618,0.2926825964997676,0.28750000000000003,0.83,0.24975,0.21948380314443272,0.10622541460839618,0.2532754894670318,0.0,0.007
half1,eps_cell,3,100,1.0,99.0,0.07644528556194262,0.09198600780990439,0.10622541460839618,0.29183314827992773,0.29000000000000004,0.84,0.2535,0.2243647704354203,0.10622541460839618,0.2530325250202139,0.0,0.007
half1,eps_cell,4,100,1.0,99.0,0.07399782675025876,0.09347118112672222,0.10622541460839618,0.2830706416650143,0.2925,0.84,0.256,0.22281984376303668,0.10622541460839618,0.24530694862437175,0.0,0.007
half1,eps_cell,5,100,1.0,99.0,0.08363932281559988,0.08954044991252429,0.10622541460839618,0.2660264812398841,0.28750000000000003,0.83,0.2435,0.22073435654740872,0.10622541460839618,0.22840882059569056,0.0,0.007
half1,eps_cell,6,100,1.0,99.0,0.08604384831763011,0.08935362242718806,0.10622541460839618,0.28913893367959875,0.28250000000000003,0.82,0.24350000000000002,0.22330440609776359,0.10622541460839618,0.25057113577251533,0.0,0.007
half1,eps_cell,7,100,1.0,99.0,0.08375670671462329,0.09054663021397,0.10622541460839618,0.2872119477882677,0.28500000000000003,0.83,0.24625,0.2216543830093715,0.10622541460839618,0.2499284919225523,0.0,0.007
half1,eps_cell,8,100,1.0,99.0,0.08689527090534865,0.0891129300311738,0.10622541460839618,0.30232099962577874,0.2825,0.82,0.23600000000000002,0.22084510378775982,0.10622541460839618,0.26164280738586093,0.0,0.007
half1,eps_cell,9,100,1.0,99.0,0.08522469692623895,0.08983057346809165,0.10622541460839618,0.29641885520544586,0.28500000000000003,0.83,0.25075000000000003,0.22241626696751704,0.10622541460839618,0.25900527563395714,0.0,0.007
