pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,random,30,100,1.0,99.0,0.11539994947375581,0.006986339864996143,0.10743300375394582,0.3479683038929263,0.11750000000000001,0.61,0.066875,0.29509446697848085,0.10743300375394582,0.3147555742556879,0.0,0.007
pool,random,31,100,1.0,99.0,0.1463456397227796,0.012957699397271313,0.13072198432103052,0.4515529737023899,0.11,0.52,0.0871875,0.28714901222479544,0.13072198432103052,0.4253794863217788,0.0,0.007
pool,random,32,100,1.0,99.0,0.12137270054309837,0.007387879387509545,0.08314179222794733,0.35249289156630403,0.11374999999999999,0.6,0.0628125,0.2885834123686437,0.08314179222794735,0.3200300004980688,0.0,0.007
pool,random,33,100,1.0,99.0,0.13768014050227018,0.007856887028416233,0.08810932499042413,0.4283389640617525,0.08875,0.48,0.076875,0.2957956353307471,0.08810932499042415,0.3889971859404045,0.01,0.007
pool,random,34,100,1.0,99.0,0.13507015705622893,0.007727341008514518,0.12262940038005538,0.3400390985381729,0.09875,0.53,0.07293749999999999,0.28232433277211144,0.12262940038005538,0.32942634113829306,0.0,0.007
pool,random,35,100,1.0,99.0,0.11479011062698954,0.006472916391837195,0.07054697427111709,0.444145636047283,0.10750000000000001,0.57,0.0839375,0.29321255745091956,0.07054697427111709,0.4109939580359178,0.01,0.007
pool,random,36,100,1.0,99.0,0.11947132906284312,0.007451379575881043,0.14373304242277493,0.37519607153887324,0.11124999999999999,0.53,0.0793125,0.3141017036803497,0.1437330424227749,0.34748320505343017,0.03,0.007
pool,random,37,100,1.0,99.0,0.13153359375274581,0.008536914706302953,0.12411634579636073,0.45126595866007335,0.10250000000000001,0.52,0.08474999999999999,0.29717155120201144,0.12411634579636073,0.4139245711502105,0.0,0.007
pool,random,38,100,1.0,99.0,0.13559672844949328,0.010101901662858327,0.10080568924391796,0.41599445438973864,0.11624999999999999,0.54,0.06875,0.315229761135495,0.10080568924391796,0.37187652915716296,0.02,0.007
pool,random,39,100,1.0,99.0,0.14099319289642254,0.011521420039601308,0.13224726231497128,0.4264723468647895,0.10125,0.46,0.0714375,0.28957926020251845,0.13224726231497125,0.39623104325600644,0.0,0.007
pool,random,40,100,1.0,99.0,0.14108735261717692,0.007410030949722459,0.12010215129702202,0.40723687425450955,0.085,0.42,0.077875,0.2661313225073691,0.12010215129702204,0.38103270390760147,0.0,0.007
pool,random,41,100,1.0,99.0,0.13961753591195686,0.011642414781871774,0.10346978502841314,0.3812546752387818,0.09000000000000001,0.5,0.07725000000000001,0.28477922254005017,0.10346978502841314,0.36006206962813153,0.01,0.007
pool,random,42,100,1.0,99.0,0.131982044494611,0.006951289688318902,0.10775848705098943,0.4520435386173401,0.11000000000000001,0.55,0.077,0.2783964082366486,0.10775848705098943,0.42074077569668666,0.0,0.007
pool,random,43,100,1.0,99.0,0.11612857513296644,0.006711358346711472,0.08850584018024409,0.44686973589935813,0.10875000000000001,0.54,0.0706875,0.3085592355235457,0.08850584018024409,0.4035837029500665,0.0,0.007
pool,random,44,100,1.0,99.0,0.13837470806203875,0.007745260900366111,0.09291600685065257,0.43411893369194543,0.0975,0.47,0.06712499999999999,0.286774424558802,0.09291600685065257,0.39771117241880316,0.01,0.007
pool,random,45,100,1.0,99.0,0.1489172805190479,0.010789108554592215,0.06959766350704119,0.5060339061660035,0.09125,0.45,0.07743749999999999,0.2845550021703334,0.06959766350704119,0.4354513003629837,0.04,0.007
