pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,maximin,0,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,1,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,2,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,3,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,4,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,5,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,6,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,7,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,8,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,maximin,9,100,0.0,100.0,0.22680028790725223,0.08685856834794568,0.17224180591387117,0.16794646606402497,0.31,0.84,0.254125,0.21141279592633538,0.17224180591387117,0.1609466245629494,0.04,0.007
pool,eps_cell,0,100,0.0,100.0,0.21080164176868127,0.09660046644043443,0.06360205208663368,0.3679734818283021,0.3325,0.91,0.271,0.1698542950872523,0.06360205208663368,0.32921939526557775,0.0,0.007
pool,eps_cell,1,100,0.0,100.0,0.20498593325376496,0.09757453489665643,0.06360205208663368,0.36521403603280217,0.3375,0.92,0.26837500000000003,0.1753485114409458,0.06360205208663368,0.3060603992773304,0.0,0.007
pool,eps_cell,2,100,0.0,100.0,0.1998130239457782,0.09935320981104295,0.06360205208663368,0.3436108254972468,0.33999999999999997,0.91,0.276,0.17403627680403627,0.06360205208663368,0.2976526459221852,0.0,0.007
pool,eps_cell,3,100,0.0,100.0,0.20876833965990335,0.09569271105696764,0.06360205208663368,0.3572759980404906,0.32,0.9,0.26,0.17645410248817053,0.06360205208663368,0.29926440587505393,0.0,0.007
pool,eps_cell,4,100,0.0,100.0,0.20980694952860887,0.10008933601858679,0.06360205208663368,0.31573877244455223,0.34750000000000003,0.93,0.279875,0.17085943982832794,0.06360205208663368,0.26731700264869807,0.0,0.007
pool,eps_cell,5,100,0.0,100.0,0.20313854325581443,0.09654421508982872,0.06360205208663368,0.3385462122568484,0.33749999999999997,0.91,0.26725,0.17409749265140534,0.06360205208663368,0.2851567396846437,0.0,0.007
pool,eps_cell,6,100,0.0,100.0,0.20573489398895162,0.096673571398226,0.07689368506521559,0.2876406164367456,0.34,0.91,0.275875,0.1740631211783075,0.07689368506521559,0.251562229138509,0.0,0.007
pool,eps_cell,7,100,0.0,100.0,0.21441381644548593,0.09554519428623595,0.06360205208663368,0.32102268829429825,0.3275,0.9,0.25949999999999995,0.17330637674180047,0.06360205208663368,0.2689718197134863,0.0,0.007
pool,eps_cell,8,100,0.0,100.0,0.1974867971569482,0.09914651398060023,0.07296411210690756,0.2987183417242832,0.33999999999999997,0.91,0.276375,0.1715939685389917,0.07296411210690756,0.2603215812688632,0.0,0.007
pool,eps_cell,9,100,0.0,100.0,0.20713292670021688,0.09849663755445413,0.06360205208663368,0.29942458316891885,0.3375,0.92,0.274375,0.16731030093622826,0.06360205208663368,0.2559786948064875,0.0,0.007
pool,lhs_nn,0,100,0.5,99.5,0.0494053707959986,0.09932473811436657,0.0616299691798129,0.3550730109399745,0.37,0.9,0.3155,0.19558992684874338,0.0616299691798129,0.3186009243528783,0.0,0.007
pool,lhs_nn,1,100,0.5,99.5,0.04595993007473965,0.10230265708481996,0.06864277655800163,0.39371954242006774,0.395,0.96,0.347875,0.1981768524794701,0.06864277655800163,0.34500618678891876,0.0,0.007
pool,lhs_nn,2,100,0.5,99.5,0.05570365336596612,0.10446603524120589,0.060380658337026716,0.4043479322868923,0.37250000000000005,0.91,0.347,0.1918147527262579,0.060380658337026716,0.3674669677119783,0.0,0.007
